Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
54, 1, 3, 6, 5, 4, 4, 4.22772, 0.0858687, , 1, 1.09989, 0.377194, 0.166042, , 1, 1.09989, 0.377194, 0.166042, , 
55, 1, 3, 7, 5, 4, 4, 4.22509, 0.0848741, , 1, 1.06108, 0.3608, 0.154516, , 1, 1, 0.340032, 0.145622, , 
56, 1, 3, 7, 5, 4, 0.5, 4.20568, 0.0775563, , 1, 0.922944, 0.199117, 0.240769, , 1, 0.963076, 0.199117, 0.240769, , 
57, 1, 3, 7, 5, 5, 4, 4.16671, 0.0628611, , 1, 1.10196, 0.35517, 0.142748, , 1, 1.10196, 0.35517, 0.142748, , 
58, 1, 3, 7, 6, 5, 4, 4.21739, 0.0819726, , 1, 1.1762, 0.343851, 0.144235, , 1, 1.16496, 0.340568, 0.142857, , 
59, 1, 3, 8, 4, 6, 4, 4.08201, 0.0309233, , 1, 1.02543, 0.353116, 0.124654, , 1, 1.02543, 0.353116, 0.124654, , 
60, 1, 3, 8, 5, 4, 0.5, 4.24605, 0.0927779, , 1, 0.879011, 0.191369, 0.224116, , 1, 0.896464, 0.191369, 0.224116, , 
61, 1, 3, 8, 5, 5, 4, 4.16554, 0.0624192, , 1, 1.06774, 0.342035, 0.133961, , 1, 1.04058, 0.333333, 0.130553, , 
62, 1, 3, 8, 5, 5, 5, 4.22588, 0.0851727, , 1, 1.08375, 0.370311, 0.128899, , 1, 1.05097, 0.35911, 0.125, , 
63, 1, 3, 8, 5, 5, 0.5, 4.24605, 0.0927779, , 1, 0.93884, 0.193765, 0.215739, , 1, 0.968826, 0.193765, 0.215739, , 
64, 1, 3, 8, 5, 6, 4, 4.12523, 0.0472218, , 1, 1.10302, 0.338371, 0.125888, , 1, 1.09524, 0.335985, 0.125, , 
65, 1, 3, 9, 4, 6, 1, 4.10314, 0.0388918, , 1, 0.938858, 0.235277, 0.16205, , 1, 0.941108, 0.235277, 0.16205, , 
66, 1, 3, 9, 4, 7, 4, 4.05764, 0.0217337, , 1, 1.02847, 0.339857, 0.112178, , 1, 1.01869, 0.336626, 0.111111, , 
67, 1, 3, 9, 5, 6, 5, 4.17584, 0.0663044, , 1, 1.08713, 0.353361, 0.114292, , 1, 1.05688, 0.343528, 0.111111, , 
68, 1, 3, 9, 5, 6, 6, 4.22772, 0.0858687, , 1, 1.09989, 0.377194, 0.110695, , 1, 1.09989, 0.377194, 0.110695, , 
69, 1, 3, 9, 6, 6, 5, 4.22772, 0.0858687, , 1, 1.16085, 0.342243, 0.115572, , 1, 1.13062, 0.333333, 0.112563, , 
70, 1, 3, 0.333333, 4, 0.25, 0.142857, 4.05764, 0.0217337, , 1, 1.01957, 0.336533, 3.0854, , 1, 1.00988, 0.333333, 3.05606, , 
71, 1, 3, 0.333333, 5, 0.2, 0.166667, 4.17584, 0.0663044, , 1, 1.06008, 0.342875, 3.26139, , 1, 1.03058, 0.333333, 3.17064, , 
72, 1, 3, 0.333333, 5, 0.166667, 0.166667, 4.22772, 0.0858687, , 1, 1.02673, 0.346716, 3.48254, , 1, 1, 0.337689, 3.39187, , 
73, 1, 3, 0.25, 5, 0.142857, 0.125, 4.18878, 0.0711836, , 1, 1.05103, 0.343888, 4.42435, , 1, 1.01877, 0.333333, 4.28856, , 
74, 1, 3, 0.25, 5, 0.125, 0.125, 4.22772, 0.0858687, , 1, 1.02673, 0.346716, 4.64339, , 1, 1, 0.337689, 4.5225, , 
75, 1, 4, 6, 6, 4, 2, 4.10314, 0.0388918, , 1, 1.03562, 0.250599, 0.177521, , 1, 1.03314, 0.25, 0.177096, , 
76, 1, 4, 6, 7, 4, 3, 4.24212, 0.0912956, , 1, 1.11991, 0.280629, 0.166615, , 1, 1.11991, 0.280629, 0.166615, , 
77, 1, 4, 7, 7, 4, 3, 4.23948, 0.0903019, , 1, 1.08021, 0.268426, 0.155082, , 1, 1.00606, 0.25, 0.144436, , 
